dataset_name,config_name,description,number_entities,entities,entities_count,passages_count,passages_char_count,mean_passages_char_count,number_splits,splits
an_em,an_em_bigbio_kb,"AnEM corpus is a domain- and species-independent resource manually annotated for anatomical
entity mentions using a fine-grained classification system. The corpus consists of 500 documents
(over 90,000 words) selected randomly from citation abstracts and full-text papers with
the aim of making the corpus representative of the entire available biomedical scientific
literature. The corpus annotation covers mentions of both healthy and pathological anatomical
entities and contains over 3,000 annotated mentions.
",11,"Cellular_component, Organ, Tissue, Multi-tissue_structure, Anatomical_system, Organism_subdivision, Immaterial_anatomical_entity, Developing_anatomical_structure, Organism_substance, Cell, Pathological_formation",3135,500,627688,1255.376,3,"train, test, validation"
anat_em,anat_em_bigbio_kb,"The extended Anatomical Entity Mention corpus (AnatEM) consists of 1212 documents (approx. 250,000 words)
manually annotated to identify over 13,000 mentions of anatomical entities. Each annotation is assigned one
of 12 granularity-based types such as Cellular component, Tissue and Organ, defined with reference to the
Common Anatomy Reference Ontology.
",12,"Cellular_component, Organ, Tissue, Multi-tissue_structure, Cancer, Anatomical_system, Organism_subdivision, Immaterial_anatomical_entity, Developing_anatomical_structure, Organism_substance, Cell, Pathological_formation",13701,1212,1705270,1406.9884488448845,3,"train, test, validation"
ask_a_patient,ask_a_patient_bigbio_kb,"
The AskAPatient dataset contains medical concepts written on social media mapped to how they are formally written in medical ontologies (SNOMED-CT and AMT).
",1,social_media_text,173240,173240,2238807,12.923152851535443,30,"train_0, train_1, train_2, train_3, train_4, train_5, train_6, train_7, train_8, train_9, validation_0, validation_1, validation_2, validation_3, validation_4, validation_5, validation_6, validation_7, validation_8, validation_9, test_0, test_1, test_2, test_3, test_4, test_5, test_6, test_7, test_8, test_9"
bc5cdr,bc5cdr_bigbio_kb,"The BioCreative V Chemical Disease Relation (CDR) dataset is a large annotated text corpus of
human annotations of all chemicals, diseases and their interactions in 1,500 PubMed articles.
",2,"Chemical, Disease",29271,3000,1975456,658.4853333333333,3,"train, test, validation"
bioinfer,bioinfer_bigbio_kb,"A corpus targeted at protein, gene, and RNA relationships which serves as a resource for the development of 
information extraction systems and their components such as parsers and domain analyzers. Currently, the corpus 
contains 1100 sentences from abstracts of biomedical research articles annotated for relationships, named entities, 
as well as syntactic dependencies.
",6,"Protein_family_or_group, Gene, DNA_family_or_group, Gene/protein/RNA, Protein_complex, Individual_protein",4421,1100,204374,185.79454545454544,2,"train, test"
bionlp_shared_task_2009,bionlp_shared_task_2009_bigbio_kb,"The BioNLP Shared Task 2009 was organized by GENIA Project and its corpora were curated based
on the annotations of the publicly available GENIA Event corpus and an unreleased (blind) section
of the GENIA Event corpus annotations, used for evaluation.
",2,"Protein, Entity",15497,1210,1845147,1524.914876033058,3,"train, test, validation"
bionlp_st_2011_epi,bionlp_st_2011_epi_bigbio_kb,"The dataset of the Epigenetics and Post-translational Modifications (EPI) task
of BioNLP Shared Task 2011.
",2,"Protein, Entity",16675,1240,1863359,1502.7088709677419,3,"train, validation, test"
bionlp_st_2011_ge,bionlp_st_2011_ge_bigbio_kb,"The BioNLP-ST GE task has been promoting development of fine-grained information extraction (IE) from biomedical
documents, since 2009. Particularly, it has focused on the domain of NFkB as a model domain of Biomedical IE.
The GENIA task aims at extracting events occurring upon genes or gene products, which are typed as ""Protein""
without differentiating genes from gene products. Other types of physical entities, e.g. cells, cell components,
are not differentiated from each other, and their type is given as ""Entity"".
",2,"Protein, Entity",22277,1514,2386723,1576.4352708058125,3,"train, validation, test"
bionlp_st_2011_id,bionlp_st_2011_id_bigbio_kb,"The dataset of the Infectious Diseases (ID) task of
BioNLP Shared Task 2011.
",6,"Chemical, Protein, Organism, Regulon-operon, Entity, Two-component-system",12788,316,891569,2821.4208860759495,3,"train, validation, test"
bionlp_st_2011_rel,bionlp_st_2011_rel_bigbio_kb,"The Entity Relations (REL) task is a supporting task of the BioNLP Shared Task 2011.
The task concerns the extraction of two types of part-of relations between a
gene/protein and an associated entity.
",2,"Protein, Entity",24895,1210,1845147,1524.914876033058,3,"train, validation, test"
bionlp_st_2013_cg,bionlp_st_2013_cg_bigbio_kb,"the Cancer Genetics (CG) is a event extraction task and a main task of the BioNLP Shared Task (ST) 2013.
The CG task is an information extraction task targeting the recognition of events in text,
represented as structured n-ary associations of given physical entities. In addition to
addressing the cancer domain, the CG task is differentiated from previous event extraction
tasks in the BioNLP ST series in addressing a wide range of pathological processes and multiple
levels of biological organization, ranging from the molecular through the cellular and organ
levels up to whole organisms. Final test set submissions were accepted from six teams
",18,"Cellular_component, Organ, Organism, Amino_acid, Tissue, Multi-tissue_structure, Cancer, Anatomical_system, Immaterial_anatomical_entity, DNA_domain_or_region, Organism_subdivision, Organism_substance, Developing_anatomical_structure, Simple_chemical, Gene_or_gene_product, Cell, Protein_domain_or_region, Pathological_formation",21654,600,916797,1527.995,3,"train, validation, test"
bionlp_st_2013_ge,bionlp_st_2013_ge_bigbio_kb,"The BioNLP-ST GE task has been promoting development of fine-grained
information extraction (IE) from biomedical
documents, since 2009. Particularly, it has focused on the domain of
NFkB as a model domain of Biomedical IE
",4,"Anaphora, Protein, Binding, Entity",12726,776,1267514,1633.3943298969073,3,"train, validation, test"
